severity,category,issue,details,recommendation,source
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251201180609_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 63°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201180609_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201180609_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 54°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201180609_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201180609_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2764°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251201180609_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 146 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251201180609_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201180609_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251127122721_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251127122721_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 72°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251127122721_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251127122721_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: -0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251127122721_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251127122721_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 1352°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251127122721_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 6 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251127122721_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 11°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251127122721_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251209205834_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 81°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251209205834_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251209205834_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 3°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251209205834_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251209205834_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2341°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251209205834_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 408 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251209205834_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251209205834_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251220140902_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 27°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251220140902_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251220140902_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 4°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251220140902_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251220140902_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2594°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251220140902_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 232 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251220140902_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 17°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251220140902_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260120104832_clean.csv
