Row,Coolant Temp [degree C],Engine Speed [rpm],Engine Speed of Cyl Count1 [rpm],Engine Speed of Cyl Count2 [rpm],Engine Speed of Cyl Count3 [rpm],Engine Speed of Cyl Count4 [rpm],Engine Speed of Cyl Count5 [rpm],Engine Speed of Cyl Count6 [rpm],Fuel System Monitor,Short FT (Bank1 Sensor1) [%],Short FT (Bank2 Sensor1) [%]
55,71,1154.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0.781
56,71,1152.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0.781
57,71,1156.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0.781
58,71,1155.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0.781
59,71,1162.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0.781
60,71,1157,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0.781
61,71,1151.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,0.781
62,71,1153,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0
63,71,1162.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0
64,71,1154.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0
65,71,1153.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0
66,71,1149,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0
67,71,1160.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0
68,71,1159.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,-0.781
69,71,1146.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,-0.781
70,71,1152.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,-0.781
71,71,1160,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,-0.781
72,71,1153.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,-0.781
73,71,1153,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,-0.781
74,71,1151.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,-0.781
75,71,1150.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,-0.781
76,71,1154.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,-0.781
77,71,1166.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,-0.781
78,71,1157.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,-0.781
79,71,1159.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,-0.781
80,71,1159.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,-0.781
81,71,1153,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,-0.781
82,71,1153,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,-0.781
83,71,1146.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,-0.781
84,71,1142.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,-0.781
85,71,1145.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0
86,71,1151.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0
87,71,1150,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0
88,71,1143.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,0
89,71,1146,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,0
90,71,1148.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,0
91,71,1144.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,0
92,71,1149,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,0.781
93,71,1153,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,0.781
94,71,1149,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0.781
95,71,1151.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0.781
96,71,1148.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0.781
97,71,1153,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0.781
98,71,1153.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0.781
99,71,1146,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0
100,71,1154.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0
101,71,1150.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0
102,71,1155.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0
